DEBUG 2023-09-16 11:33:38,835 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:33:38,836 __init__ interactive is False
DEBUG 2023-09-16 11:33:38,836 __init__ platform is win32
DEBUG 2023-09-16 11:33:38,881 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:33:38,882 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
INFO 2023-09-16 11:34:38,109 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-16 11:34:38,361 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:34:38,364 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:34:38,366 __init__ interactive is False
DEBUG 2023-09-16 11:34:38,366 __init__ platform is win32
DEBUG 2023-09-16 11:34:38,416 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:34:38,418 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
WARNING 2023-09-16 11:34:45,373 log Not Found: /favicon.ico
INFO 2023-09-16 11:36:30,506 autoreload D:\Study\Web\EstateAgency\mysite\auth_user\forms.py changed, reloading.
INFO 2023-09-16 11:36:31,277 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-16 11:36:31,523 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:36:31,527 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:36:31,528 __init__ interactive is False
DEBUG 2023-09-16 11:36:31,528 __init__ platform is win32
DEBUG 2023-09-16 11:36:31,574 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:36:31,576 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:38:13,929 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:38:13,933 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:38:13,934 __init__ interactive is False
DEBUG 2023-09-16 11:38:13,935 __init__ platform is win32
DEBUG 2023-09-16 11:38:13,982 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:38:13,983 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:44:12,470 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:44:12,474 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:44:12,475 __init__ interactive is False
DEBUG 2023-09-16 11:44:12,475 __init__ platform is win32
DEBUG 2023-09-16 11:44:12,520 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:44:12,522 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:44:31,109 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:44:31,113 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:44:31,114 __init__ interactive is False
DEBUG 2023-09-16 11:44:31,114 __init__ platform is win32
DEBUG 2023-09-16 11:44:31,159 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:44:31,161 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:44:34,408 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:44:34,412 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:44:34,413 __init__ interactive is False
DEBUG 2023-09-16 11:44:34,413 __init__ platform is win32
DEBUG 2023-09-16 11:44:34,462 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:44:34,465 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:44:42,257 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:44:42,261 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:44:42,262 __init__ interactive is False
DEBUG 2023-09-16 11:44:42,262 __init__ platform is win32
DEBUG 2023-09-16 11:44:42,308 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:44:42,309 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:46:09,560 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:46:09,564 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:46:09,565 __init__ interactive is False
DEBUG 2023-09-16 11:46:09,565 __init__ platform is win32
DEBUG 2023-09-16 11:46:09,611 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:46:09,613 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:46:14,125 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:46:14,128 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:46:14,130 __init__ interactive is False
DEBUG 2023-09-16 11:46:14,130 __init__ platform is win32
DEBUG 2023-09-16 11:46:14,176 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:46:14,178 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:47:20,519 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:47:20,523 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:47:20,525 __init__ interactive is False
DEBUG 2023-09-16 11:47:20,525 __init__ platform is win32
DEBUG 2023-09-16 11:47:20,576 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:47:20,578 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:47:38,463 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:47:38,467 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:47:38,469 __init__ interactive is False
DEBUG 2023-09-16 11:47:38,469 __init__ platform is win32
DEBUG 2023-09-16 11:47:38,522 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:47:38,523 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:47:45,090 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:47:45,094 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:47:45,096 __init__ interactive is False
DEBUG 2023-09-16 11:47:45,096 __init__ platform is win32
